open,high,low,close,volume,trade_count,vwap,sma5,sma50,sma100,ema20,rsi14,macd,upperBB,lowerBB,ATR14,momentum,deviation,zscore,target
210.1,211.43,208.45,210.01,42848928.0,512140.0,209.909746,210.754,203.8586,211.68779999999998,204.91881916097833,70.79296734840328,1.4036936816662453,213.40706145446745,192.04993854553254,4.221121428571422,-33.84,6.151399999999995,1.363760471117338,1
209.53,211.33,207.22,211.14,48749367.0,590796.0,209.522103,211.41799999999998,203.89579999999998,211.43050000000002,205.5113125742185,79.55758962623948,1.28490525955887,214.5087786246384,191.91722137536158,4.285407142857139,-32.22000000000003,7.244200000000006,1.4035331717124084,1
210.505,213.48,210.03,212.41,44443634.0,545130.0,212.263512,211.41199999999998,203.94119999999998,211.1393,206.16833042429292,79.81167608286248,1.214163018558805,215.7142108836948,191.6857891163052,4.353264285714281,-32.59,8.468800000000016,1.4499495779320573,0
210.565,212.13,209.86,211.16,39765812.0,431665.0,211.018793,210.93400000000003,203.94019999999998,210.8049,206.6437275267412,71.72797262617618,1.0136557822970742,216.5398017654109,192.09819823458912,4.169692857142853,-31.05000000000001,7.219800000000021,1.1195664787497637,0
209.925,210.91,207.54,208.62,38840111.0,525534.0,208.757364,210.66799999999998,203.8626,210.44639999999998,206.83194395276587,64.00472069236821,0.6576901687243057,216.90576267773326,192.67423732226678,4.189692857142853,-34.079999999999984,4.757400000000018,0.6322342392920727,1
209.22,211.89,208.92,209.11,42296339.0,526311.0,210.153548,210.488,203.7784,210.08880000000002,207.04890167155008,67.82679077296639,0.41481507408690654,217.01568026771506,193.83031973228495,4.191835714285708,-27.73999999999998,5.331600000000009,0.6360910358699525,1
210.295,212.4,208.64,210.16,47483372.0,535726.0,210.422945,210.292,203.8746,209.7321,207.34519675045007,67.55102040816323,0.2903472838593446,217.29445040986167,194.72554959013831,4.219692857142854,-24.24000000000001,6.28540000000001,0.7355254087293864,0
210.57,211.8,209.59,210.02,48067750.0,574969.0,210.556305,209.814,204.0972,209.3768,207.59993991707387,68.72923588039869,0.1700149252080312,217.02016514297557,196.4378348570244,4.150407142857142,-23.25999999999999,5.922800000000024,0.6395777259966238,1
210.87,211.79,209.7045,211.18,48972900.0,478837.0,210.88438,209.81800000000004,204.3506,209.01760000000002,207.9408980202097,70.07154213036566,0.14115806059028957,216.74072601915898,198.17727398084102,4.0693714285714275,-26.689999999999998,6.829400000000021,0.8017905273909746,1
212.1,215.78,211.63,212.48,51377434.0,651657.0,213.488308,210.59,204.67520000000002,208.672,208.3731934468564,66.33884666964684,0.17976173314599775,217.0489720262955,199.01702797370447,3.8172785714285715,-15.780000000000001,7.804799999999972,0.9864715611428508,1
